;Id;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti;;;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti
208;208;24,77563667;3,485263158;8,605578947;8,617052632;0;0;-3,432258065;0;7,5;0;;;;;;;;;;;;
209;209;9,454680462;3,485789474;8,512894737;8,583631579;0;0;-14,12763533;0;3;0;;;;;;;;;;;;
210;210;13,25105263;6,58;2,018421053;2,052631579;0;0;-0,4;0;3;0;;;;;;;;;;;;
211;211;12,88526316;6,58;2,018421053;2,086842105;0;0;-0,8;0;3;0;;;;;;;;;;;;
212;212;26,25069761;4,606842105;12,5562;10,34447368;9,675;0;-15,43181818;0;4,5;0;;;;;;;;;;;;
213;213;30,10647895;3,997368421;10,85109474;9,145515789;3,6;0;-4,9875;0;7,5;0;;;;;;;;;;;;
214;214;26,33675956;4,358421053;10,75235789;9,524357895;4;0;-6,463083164;-0,335294118;4,5;0;;;;;;;;;;;;
215;215;15,68124211;3,385789474;8,089094737;7,894357895;0;0;-5,928;-0,76;3;0;;;;;;;;;;;;
216;216;8,929726316;4,2112;1,609263158;1,609263158;0;0;0;0;1,5;0;;;;;;;;;;;;
217;217;10,42972632;4,2112;1,609263158;1,609263158;0;0;0;0;3;0;;;;;;;;;;;;
218;218;5,813642105;0,468421053;3,147084211;3,018136842;0;0;-5,32;0;4,5;0;;;;;;;;;;;;
219;219;5,112426836;2,336315789;7,016347368;6,759368421;0;0;-13,99960474;0;3;0;;;;;;;;;;;;
220;220;3,135650877;0,910526316;4,040242105;4,005715789;0;0;-8,820833333;0;3;0;;;;;;;;;;;;
221;221;9,201418222;2,933684211;7,138452632;7,193210526;0;0;-9,563929147;0;1,5;0;;;;;;;;;;;;
222;222;23,91611579;5,020526316;10,17508421;9,695505263;3;0;-9,975;0;6;0;;;;;;;;;;;;
223;223;10,76216842;2,3688;1,196684211;1,196684211;0;0;0;0;6;0;;;;;;;;;;;;
224;224;15,04946285;2,392905263;4,681736842;4,611052632;0;0;-4,136231884;0;7,5;0;;;;;;;;;;;;
225;225;10,13039649;2,3688;1,196684211;1,231578947;0;0;-0,666666667;0;6;0;;;;;;;;;;;;
226;226;14,28637895;2,274484211;4,566736842;4,445157895;0;0;0;0;3;0;;;;;;;;;;;;
